Origin Time (GMT),Status,cntP,Mag,TypeMag,cntM,AZgap,RMS,Lat,Lon,Depth,Remarks
 2022-02-13 16:32:28 , manual , 159 , 5.5 , mb      , 116 , 127 , 0.9 , 18.57 S , 174.88 W , 136 km , Tonga Islands                     
 2022-02-13 16:14:49 , manual , 37  , 4.3 , MLv     , 13  , 159 , 1.7 , 7.00 N  , 95.19 E  , 10 km  ," Nicobar Islands, India Region     "
 2022-02-13 15:57:37 , manual , 27  , 3.2 , MLv     , 9   , 219 , 0.4 , 6.91 S  , 105.31 E , 17 km  ," Sunda Strait, Indonesia           "
 2022-02-13 15:04:56 , manual , 22  , 3.4 , MLv     , 7   , 148 , 0.4 , 7.70 S  , 122.58 E , 26 km  , Flores Sea                        
 2022-02-13 14:48:07 , manual , 96  , 5.3 , mb      , 72  , 170 , 1.7 , 21.04 S , 173.24 E , 28 km  , Vanuatu Islands Region            
 2022-02-13 13:17:01 , manual , 21  , 2.3 , MLv     , 6   , 223 , 0.7 , 9.20 S  , 117.34 E , 64 km  ," Sumbawa Region, Indonesia         "
 2022-02-13 13:13:51 , manual , 20  , 2.8 , MLv     , 7   , 105 , 0.6 , 8.20 S  , 119.83 E , 10 km  ," Flores Region, Indonesia          "
 2022-02-13 12:55:28 , manual , 23  , 2.8 , MLv     , 8   , 102 , 0.4 , 8.21 S  , 119.75 E , 165 km ," Flores Region, Indonesia          "
 2022-02-13 12:51:01 , manual , 38  , 3.0 , MLv     , 12  , 51  , 1.7 , 2.47 S  , 120.94 E , 10 km  ," Sulawesi, Indonesia               "
 2022-02-13 10:35:41 , manual , 21  , 3.0 , MLv     , 6   , 132 , 0.7 , 0.69 N  , 126.16 E , 10 km  , Northern Molucca Sea              
 2022-02-13 10:12:19 , manual , 86  , 4.7 , Mw      , 93  , 141 , 1.5 , 5.95 N  , 125.70 E , 74 km  ," Mindanao, Philippines             "
 2022-02-13 08:21:48 , manual , 391 , 5.7 , Mw      , 40  , 50  , 1.3 , 0.92 N  , 126.23 E , 65 km  , Northern Molucca Sea              
 2022-02-13 07:59:31 , manual , 120 , 4.5 , MLv     , 29  , 51  , 1.3 , 8.10 S  , 122.38 E , 23 km  ," Flores Region, Indonesia          "
 2022-02-13 07:52:05 , manual , 29  , 2.7 , MLv     , 6   , 65  , 1.0 , 2.58 S  , 121.20 E , 10 km  ," Sulawesi, Indonesia               "
 2022-02-13 07:14:14 , manual , 93  , 3.9 , MLv     , 25  , 212 , 1.0 , 7.58 S  , 106.72 E , 32 km  ," Java, Indonesia                   "
 2022-02-13 06:54:12 , manual , 53  , 5.6 , mb      , 31  , 105 , 1.4 , 56.17 S , 27.94 W  , 114 km , South Sandwich Islands Region     
